,Unnamed: 0_x,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Unnamed: 0_y,mean_duration,mean_distance,predicted_fare,tip_percent,generous,day,am_rush,daytime,pm_rush,nighttime,month
0,24870114,2,2017-03-25 08:55:43,2017-03-25 09:09:47,6,3.34,1,N,100,231,1,13.0,0.0,0.5,2.76,0.0,0.3,16.56,0,22.847222222222214,3.5216666666666665,16.501139342287633,0.2,1,saturday,1,0,0,0,mar
1,35634249,1,2017-04-11 14:53:28,2017-04-11 15:19:58,1,1.8,1,N,186,43,1,16.0,0.0,0.5,4.0,0.0,0.3,20.8,1,24.470370370370368,3.108888888888889,16.131002446799314,0.238,1,tuesday,0,1,0,0,apr
2,106203690,1,2017-12-15 07:26:56,2017-12-15 07:34:08,1,1.0,1,N,262,236,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75,2,7.25,0.8814285714285715,6.886436644345306,0.199,0,friday,1,0,0,0,dec
3,38942136,2,2017-05-07 13:17:59,2017-05-07 13:48:14,1,3.7,1,N,188,97,1,20.5,0.0,0.5,6.39,0.0,0.3,27.69,3,30.25,3.7,18.81208565493852,0.3,1,sunday,0,1,0,0,may
5,23345809,2,2017-03-25 20:34:11,2017-03-25 20:42:11,6,2.3,1,N,161,236,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,5,11.855376344086022,2.052258064516129,10.505411208918495,0.2,1,saturday,0,0,0,1,mar
6,37660487,2,2017-05-03 19:04:09,2017-05-03 20:03:47,1,12.83,1,N,79,241,1,47.5,1.0,0.5,9.86,0.0,0.3,59.16,6,59.63333333333333,12.83,45.20634571969593,0.2,1,wednesday,0,0,1,0,may
7,69059411,2,2017-08-15 17:41:06,2017-08-15 18:03:05,1,2.98,1,N,237,114,1,16.0,1.0,0.5,1.78,0.0,0.3,19.58,7,26.4375,4.0225,18.3908104679419,0.1,0,tuesday,0,0,1,0,aug
9,95294817,1,2017-11-10 15:20:29,2017-11-10 15:40:55,1,1.6,1,N,239,237,1,13.0,0.0,0.5,2.75,0.0,0.3,16.55,9,10.541111111111112,1.5799999999999998,9.196999003819478,0.199,0,friday,0,1,0,0,nov
10,18017909,2,2017-03-04 11:58:00,2017-03-04 12:13:12,1,1.77,1,N,162,142,1,11.5,0.0,0.5,2.46,0.0,0.3,14.76,10,14.178333333333333,1.641,10.223795920891789,0.2,1,saturday,0,1,0,0,mar
11,18600059,2,2017-03-05 19:15:30,2017-03-05 19:52:18,2,18.9,2,N,236,132,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,11,40.5,19.21166666666667,52.0,0.25,1,sunday,0,0,1,0,mar
12,46782248,1,2017-06-09 19:00:26,2017-06-09 19:20:11,1,3.0,1,N,13,148,1,15.0,1.0,0.5,3.35,0.0,0.3,20.15,12,15.058333333333334,3.3075,13.900180508911076,0.199,0,friday,0,0,1,0,jun
13,94113247,2,2017-11-06 23:35:05,2017-11-06 23:42:57,1,2.39,1,N,209,25,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,13,7.866666666666666,2.39,9.955008241127183,0.2,1,monday,0,0,0,1,nov
14,14168279,1,2017-02-22 15:18:31,2017-02-22 15:42:50,1,3.3,1,N,238,161,1,17.5,0.0,0.5,4.55,0.0,0.3,22.85,14,19.555,2.93,14.402781873983988,0.249,1,wednesday,0,1,0,0,feb
15,47444401,2,2017-06-02 06:41:39,2017-06-02 06:57:47,1,5.93,1,N,239,231,1,19.0,0.0,0.5,3.0,0.0,0.3,22.8,15,17.166666666666664,5.949999999999999,19.644723739755264,0.152,0,friday,1,0,0,0,jun
16,69088676,1,2017-08-15 19:48:08,2017-08-15 20:00:37,1,3.6,1,N,163,41,1,12.5,1.0,0.5,2.85,0.0,0.3,17.15,16,14.733333333333334,3.266666666666667,13.72811020300197,0.199,0,tuesday,0,0,1,0,aug
17,58691513,2,2017-07-10 13:36:31,2017-07-10 13:48:43,2,1.71,1,N,142,100,1,9.5,0.0,0.5,0.0,0.0,0.3,10.3,17,12.304761904761904,1.6228571428571428,9.6868492909473,0.0,0,monday,0,1,0,0,jul
19,18383214,2,2017-03-05 04:01:07,2017-03-05 04:14:11,2,2.77,1,N,79,68,1,11.5,0.5,0.5,3.2,0.0,0.3,16.0,19,13.63888888888889,2.1383333333333336,11.086404557837646,0.25,1,sunday,0,0,0,1,mar
21,85505540,2,2017-10-11 12:34:49,2017-10-11 13:22:38,1,12.3,5,N,138,265,1,68.25,0.0,0.0,12.0,16.26,0.3,96.81,21,39.376666666666665,20.552,54.94172483103824,0.141,0,wednesday,0,1,0,0,oct
22,113074702,2,2017-01-06 20:12:07,2017-01-06 20:18:37,1,0.52,1,N,90,249,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8,22,5.083333333333333,0.7076923076923076,5.825761772099353,0.147,0,friday,0,0,0,1,jan
